method,fold,target,horizon,mae,rmse,r2,nmae,relative_seasonal_improvement_pct,config
seasonal_24,rolling_2,par_umol_m2_s,1,45.77737808227539,98.96698865657174,0.8475152254104614,0.10670717501695895,0.0,par_research
seasonal_24,rolling_2,par_umol_m2_s,2,46.454063415527344,100.77323611548604,0.8421079516410828,0.10828453010612435,0.0,par_research
seasonal_24,rolling_2,par_umol_m2_s,3,46.924530029296875,101.61836444357634,0.8396445512771606,0.1093811888794799,0.0,par_research
seasonal_24,rolling_2,par_umol_m2_s,4,47.322139739990234,102.18018418001849,0.8380267024040222,0.11030801804193528,0.0,par_research
seasonal_24,rolling_2,par_umol_m2_s,5,47.633399963378906,102.52278710120984,0.8370501399040222,0.11103356634820258,0.0,par_research
seasonal_24,rolling_2,par_umol_m2_s,6,47.70054244995117,102.58045622826991,0.8370380997657776,0.11119007564091182,0.0,par_research
persistence,rolling_2,par_umol_m2_s,1,66.6349105834961,101.07722044153915,0.8409431576728821,0.1553261318962613,-45.562968817771946,par_research
persistence,rolling_2,par_umol_m2_s,2,122.1540298461914,172.9331461775764,0.5350284576416016,0.28474132831280047,-162.95660888378006,par_research
persistence,rolling_2,par_umol_m2_s,3,174.5978546142578,234.79184597745297,0.14393770694732666,0.40698800609384106,-272.0822659390501,par_research
persistence,rolling_2,par_umol_m2_s,4,224.30731201171875,290.0808077070939,-0.30541348457336426,0.5228608671601835,-374.00078112310024,par_research
persistence,rolling_2,par_umol_m2_s,5,270.4299011230469,338.4109234717461,-0.775423526763916,0.6303727298905522,-467.7316784671185,par_research
persistence,rolling_2,par_umol_m2_s,6,309.2749938964844,377.81580333543485,-1.2106354236602783,0.7209207316934367,-548.367875943937,par_research
seasonal_residual_xgboost,rolling_2,par_umol_m2_s,1,36.59134292602539,66.3239821291571,0.9315163493156433,0.08529450565507084,20.066756859119362,par_research
seasonal_residual_xgboost,rolling_2,par_umol_m2_s,2,43.39027786254883,78.29164414526463,0.9046983122825623,0.10114283884044016,6.595301525236305,par_research
seasonal_residual_xgboost,rolling_2,par_umol_m2_s,3,44.81048583984375,83.00925329631932,0.8929978609085083,0.10445334694602272,4.505200559564991,par_research
seasonal_residual_xgboost,rolling_2,par_umol_m2_s,4,49.30337905883789,89.5182964014899,0.8756821155548096,0.11492629151244263,-4.186706961548026,par_research
seasonal_residual_xgboost,rolling_2,par_umol_m2_s,5,49.895233154296875,91.0746227774922,0.8714097738265991,0.11630590478857081,-4.748418531234158,par_research
seasonal_residual_xgboost,rolling_2,par_umol_m2_s,6,51.81813049316406,93.03583713917718,0.8659529089927673,0.1207881829677484,-8.632161882714827,par_research
seasonal_residual_gru,rolling_2,par_umol_m2_s,1,48.40850830078125,97.583267728771,0.8517494201660156,0.11284034568946678,-5.747664739070346,par_research
seasonal_residual_gru,rolling_2,par_umol_m2_s,2,49.74174499511719,100.99703642774624,0.8414058685302734,0.11594812353174169,-7.077274489815526,par_research
seasonal_residual_gru,rolling_2,par_umol_m2_s,3,50.53233337402344,101.68396582672216,0.8394374251365662,0.11779098688583552,-7.6885231295317515,par_research
seasonal_residual_gru,rolling_2,par_umol_m2_s,4,51.79243469238281,102.92071622431025,0.8356704711914062,0.12072828599623034,-9.446519064764294,par_research
seasonal_residual_gru,rolling_2,par_umol_m2_s,5,48.586944580078125,102.39002770503336,0.8374718427658081,0.11325628107244318,-2.001840341928803,par_research
seasonal_residual_gru,rolling_2,par_umol_m2_s,6,52.11106491088867,103.74934111236563,0.8333030939102173,0.12147101377829528,-9.246273175121964,par_research
seasonal_residual_lstm,rolling_2,par_umol_m2_s,1,48.21089172363281,97.92363394981571,0.8507134318351746,0.11237970098748908,-5.315974272234821,par_research
seasonal_residual_lstm,rolling_2,par_umol_m2_s,2,51.599952697753906,101.50484902210337,0.8398070335388184,0.12027961001807437,-11.077371717081139,par_research
seasonal_residual_lstm,rolling_2,par_umol_m2_s,3,48.17863082885742,102.01390070720754,0.8383938074111938,0.11230450076656742,-2.6725910707631195,par_research
seasonal_residual_lstm,rolling_2,par_umol_m2_s,4,48.38258743286133,102.13408867911095,0.8381727933883667,0.11277992408592384,-2.24091239047449,par_research
seasonal_residual_lstm,rolling_2,par_umol_m2_s,5,51.80903625488281,103.67348929602254,0.8333717584609985,0.12076698427711612,-8.76619408800166,par_research
seasonal_residual_lstm,rolling_2,par_umol_m2_s,6,48.81622314453125,102.74421174389825,0.836517333984375,0.11379072994063229,-2.3389266395674295,par_research
seasonal_24,rolling_3,par_umol_m2_s,1,73.59336853027344,147.10860412039128,0.7333773374557495,0.1298471496768181,0.0,par_research
